Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
ACGL, 35.72B,2019-07-09,  36.53$,  1.19,  1.01,3650,2,  1.10,  1.21,  1.24,  1.10,  1.13,  1.03,  1.02,0.603,  1.19,  2.59, 14.09, 14.97,  1.04,2020-03-12,247,-20.1478%,"Loss, max: 25.40%"
ARE, 16.55B,2019-07-09, 123.21$,  1.54,  1.33,12,6,  1.02,  1.10,  1.13,  1.08,  1.10,  1.03,  1.02,1.193,  1.54,  3.10, 14.09, 14.97,  1.04,2020-03-23,258,-21.3294%,"Loss, max: 19.75%"
RGLD, 10.67B,2019-07-09, 100.12$,  1.81,  1.49,3650,6,  1.18,  1.22,  1.26,  1.04,  1.08,  1.04,  1.03,0.647,  1.81,  3.38, 14.09, 14.97,  1.04,2020-03-12,247,-23.9413%,"Loss, max: 29.79%"
UDR, 16.78B,2019-07-09,  38.12$,  1.14,  1.19,3650,4,  1.04,  1.08,  1.10,  1.03,  1.06,  1.03,  1.02,0.872,  1.14,  2.79, 14.09, 14.97,  1.04,2020-03-18,253,-22.7177%,"Loss, max: 10.76%"
ITW, 72.30B,2019-07-24, 139.47$,  1.14,  1.11,337,1,  1.07,  1.11,  1.14,  1.04,  1.06,  1.02,  1.01,1.149,  3.30,  3.57, 12.07, 13.81,  1.05,2020-03-23,243,-24.6361%,"Loss, max: 21.26%"
AME, 39.32B,2019-09-06,  85.91$,  1.06,  1.46,26,1,  1.02,  1.06,  1.10,  1.04,  1.09,  1.04,  1.02,1.147,  3.71,  3.71, 15.00, 18.55,  1.05,2020-03-12,188,-23.9553%,"Loss, max: 14.45%"
DLR, 48.71B,2019-09-06, 105.16$,  1.54,  1.06,3650,1,  1.08,  1.10,  1.12,  1.02,  1.04,  1.02,  1.01,0.676,  1.54,  3.99, 15.00, 18.55,  1.04,2021-11-29,814,41.2514%,"Gain, min: -13.94%"
DRI, 24.03B,2019-09-06, 107.56$,  1.15,  1.42,28,43,  1.03,  1.07,  1.10,  1.04,  1.07,  1.03,  1.01,1.272,  2.18,  3.60, 15.00, 18.55,  1.04,2020-02-28,174,-21.0859%,"Loss, max: 1.66%"
J, 14.85B,2019-09-06,  73.50$,  1.04,  0.90,3650,1,  1.09,  1.18,  1.25,  1.08,  1.14,  1.06,  1.02,0.766,  1.77,  3.91, 15.00, 18.55,  1.05,2020-03-20,196,-28.5850%,"Loss, max: 12.99%"
NDAQ, 43.08B,2019-09-06,  31.93$,  2.21,  1.14,39,21,  1.05,  1.13,  1.15,  1.07,  1.10,  1.02,  1.02,0.971,  2.21,  3.72, 15.00, 18.55,  1.05,2020-03-20,196,-21.7037%,"Loss, max: 14.88%"
POOL, 11.85B,2019-09-23, 187.62$,  1.36,  0.89,11,1,  1.03,  1.10,  1.15,  1.07,  1.12,  1.04,  1.03,1.053,  2.11,  3.81, 14.91, 16.47,  1.04,2020-07-09,290,41.6267%,"Gain, min: -15.10%"
FCNCA, 24.64B,2019-10-22, 485.58$,  1.16,  0.51,3650,1,  1.07,  1.11,  1.13,  1.03,  1.05,  1.02,  1.02,0.813,  1.16,  3.52, 14.46, 16.58,  1.04,2020-03-09,139,-25.6230%,"Loss, max: 9.18%"
ITW, 72.30B,2019-10-22, 142.97$,  1.31,  1.06,403,1,  1.06,  1.08,  1.11,  1.01,  1.04,  1.02,  1.02,1.149,  1.31,  3.59, 14.46, 16.58,  1.05,2020-03-20,150,-21.6899%,"Loss, max: 18.29%"
NDSN, 11.41B,2019-10-22, 144.70$,  1.97,  1.76,3650,22,  1.09,  1.11,  1.13,  1.02,  1.03,  1.01,  1.02,0.923,  2.26,  3.95, 14.46, 16.58,  1.07,2020-03-12,142,-23.4416%,"Loss, max: 17.07%"
NDSN, 11.41B,2019-11-07, 155.35$,  1.08,  1.02,2,1,  1.13,  1.17,  1.19,  1.04,  1.06,  1.01,  1.03,0.923,  1.15,  3.95, 12.73, 13.73,  1.04,2020-03-12,126,-28.6901%,"Loss, max: 9.04%"
ANSS, 27.78B,2020-01-21, 273.82$,  1.31,  1.27,3650,2,  1.09,  1.22,  1.27,  1.11,  1.16,  1.04,  1.04,1.109,  1.31,  3.15, 12.85, 12.96,  1.05,2020-03-11,50,-20.4843%,"Loss, max: 8.15%"
AWK, 28.51B,2020-01-21, 121.09$,  2.13,  1.72,3650,19,  1.10,  1.11,  1.14,  1.01,  1.03,  1.03,  1.02,0.681,  2.13,  2.83, 12.85, 12.96,  1.07,2020-03-20,59,-24.1391%,"Loss, max: 6.24%"
BIP, 13.76B,2020-01-21,  26.17$,  1.16,  1.13,3650,7,  1.06,  1.14,  1.18,  1.08,  1.12,  1.04,  1.02,1.09,  1.16,  2.91, 12.85, 12.96,  1.05,2020-03-12,51,-31.6011%,"Loss, max: 4.20%"
CCI, 45.11B,2020-01-21, 117.90$,  2.03,  0.86,3650,1,  1.09,  1.09,  1.11,  1.00,  1.02,  1.02,  1.02,0.906,  2.03,  3.63, 12.85, 12.96,  1.04,2020-03-23,62,-20.4495%,"Loss, max: 13.39%"
ES, 22.44B,2020-01-21,  74.75$,  1.20,  1.24,3650,4,  1.09,  1.11,  1.15,  1.02,  1.05,  1.03,  1.02,0.617,  1.20,  2.45, 12.85, 12.96,  1.05,2020-03-20,59,-23.4247%,"Loss, max: 10.41%"
